state,district,tehsil
Rajasthan,Barmer,Chohtan
Rajasthan,Barmer,Dhorimanna
Rajasthan,Barmer,Dhanaau
Rajasthan,Barmer,Gadraroad
Rajasthan,Barmer,Gida
Rajasthan,Barmer,Gudha Malani
Rajasthan,Barmer,Kalyanpur
Rajasthan,Barmer,Nokhra
Rajasthan,Barmer,Pachpadra
Rajasthan,Barmer,Ramsar
Rajasthan,Barmer,Sedwa
Rajasthan,Barmer,Samdari
Rajasthan,Barmer,Sheo
Rajasthan,Barmer,Sindhari
Rajasthan,Barmer,Siwana
Rajasthan,Bharatpur,Bayana
Rajasthan,Bharatpur,Bharatpur
Rajasthan,Bharatpur,Bhusawar
Rajasthan,Bharatpur,Deeg
Rajasthan,Bharatpur,Kaman
Rajasthan,Bharatpur,Kumher
Rajasthan,Bharatpur,Nadbai
Rajasthan,Bharatpur,Nagar
Rajasthan,Bharatpur,Pahari
Rajasthan,Bharatpur,Rupbas
Rajasthan,Bharatpur,Sikri
Rajasthan,Bharatpur,Uchhain
Rajasthan,Bharatpur,Weir
Rajasthan,Bhilwara,Asind
Rajasthan,Bhilwara,Badnor
Rajasthan,Bhilwara,Banera
Rajasthan,Bhilwara,Bhilwara
Rajasthan,Bhilwara,Bijoliya
Rajasthan,Bhilwara,Hameergarh
Rajasthan,Bhilwara,Hurda
Rajasthan,Bhilwara,Jahazpur
Rajasthan,Bhilwara,Kareda
Rajasthan,Bhilwara,Kotri
Rajasthan,Bhilwara,Mandal
Rajasthan,Bhilwara,Mandalgarh
Rajasthan,Bhilwara,Phooliya Kalan
Rajasthan,Bhilwara,Raipur
Rajasthan,Bhilwara,Sahara
Rajasthan,Bhilwara,Shahpura
Rajasthan,Bikaner,Bajju
Rajasthan,Bikaner,Bikaner
Rajasthan,Bikaner,Chhatargarh
Rajasthan,Bikaner,Khajuwala
Rajasthan,Bikaner,Kolayat
Rajasthan,Bikaner,Lunkaransar
Rajasthan,Bikaner,Nokha
Rajasthan,Bikaner,Poogal
Rajasthan,Bikaner,Sridungargarh
Rajasthan,Bundi,Bundi
Rajasthan,Bundi,Hindoli
Rajasthan,Bundi,Indragarh
Rajasthan,Bundi,Keshoraipatan
Rajasthan,Bundi,Nainwa
Rajasthan,Bundi,Talera
Rajasthan,Chittorgarh,Bhopalsagar
Rajasthan,Chittorgarh,Bari Sadri
Rajasthan,Chittorgarh,Bassi
Rajasthan,Chittorgarh,Begun
Rajasthan,Chittorgarh,Bhadesar
Rajasthan,Chittorgarh,Chittaurgarh
Rajasthan,Chittorgarh,Dungla
Rajasthan,Chittorgarh,Gangrar
Rajasthan,Chittorgarh,Kapasan
Rajasthan,Chittorgarh,Nimbahera
Rajasthan,Chittorgarh,Rashmi
Rajasthan,Chittorgarh,Rawatbhata
Rajasthan,Churu,Bidasar
Rajasthan,Churu,Churu
Rajasthan,Churu,Rajgarh
Rajasthan,Churu,Ratangarh
Rajasthan,Churu,Sardarshahar
Rajasthan,Churu,Sidhmukh
Rajasthan,Churu,Sujangarh
Rajasthan,Churu,Taranagar
Rajasthan,Dausa,Baswa
Rajasthan,Dausa,Behrawanda
Rajasthan,Dausa,Bejupada
Rajasthan,Dausa,Dausa
Rajasthan,Dausa,Lalsot
Rajasthan,Dausa,Lawan
Rajasthan,Dausa,Mahwa
Rajasthan,Dausa,Mandawar
Rajasthan,Dausa,Nangal Rajawatan
Rajasthan,Dausa,Rahuwas
Rajasthan,Dausa,Ramgarh Pachwara
Rajasthan,Dausa,Sainthal
Rajasthan,Dausa,Sikrai
Rajasthan,Dholpur,Bari
Rajasthan,Dholpur,Baseri
Rajasthan,Dholpur,Dhaulpur
Rajasthan,Dholpur,Mania
Rajasthan,Dholpur,Rajakhera
Rajasthan,Dholpur,Sarmathura
Rajasthan,Dholpur,Sepau
Rajasthan,Dungarpur,Aspur
Rajasthan,Dungarpur,Bichiwara
Rajasthan,Dungarpur,Chikhali
Rajasthan,Dungarpur,Dowda
Rajasthan,Dungarpur,Dungarpur
Rajasthan,Dungarpur,Galiyakot
Rajasthan,Dungarpur,Gamdi Ahada
Rajasthan,Dungarpur,Jothari
Rajasthan,Dungarpur,Sabla
Rajasthan,Dungarpur,Sagwara
Rajasthan,Dungarpur,Simalwara
Rajasthan,Ganganagar,Anupgarh
Rajasthan,Ganganagar,Ganganagar
Rajasthan,Ganganagar,Gharsana
Rajasthan,Ganganagar,Karanpur
Rajasthan,Ganganagar,Padampur
Rajasthan,Ganganagar,Raisinghnagar
Rajasthan,Ganganagar,Ravla
Rajasthan,Ganganagar,Sadulshahar
Rajasthan,Ganganagar,Suratgarh
Rajasthan,Ganganagar,Vijainagar
Rajasthan,Hanumangarh,Bhadra
Rajasthan,Hanumangarh,Hanumangarh
Rajasthan,Hanumangarh,Nohar
Rajasthan,Hanumangarh,Pilibanga
Rajasthan,Hanumangarh,Rawatsar
Rajasthan,Hanumangarh,Sangaria
Rajasthan,Hanumangarh,Tibi
Rajasthan,Jaipur,Aandhi
Rajasthan,Jaipur,Amber
Rajasthan,Jaipur,Bassi
Rajasthan,Jaipur,Chaksu
Rajasthan,Jaipur,Chomu
Rajasthan,Jaipur,Dudu
Rajasthan,Jaipur,Jaipur
Rajasthan,Jaipur,Jamwa Ramgarh
Rajasthan,Jaipur,Jobner
Rajasthan,Jaipur,Kishangarh Renwal
Rajasthan,Jaipur,Kotkhawda
Rajasthan,Jaipur,Kotputli
Rajasthan,Jaipur,Madhorajpura
Rajasthan,Jaipur,Mauzamabad
Rajasthan,Jaipur,Pavta
Rajasthan,Jaipur,Phagi
Rajasthan,Jaipur,Phulera (Hq.Sambhar)
Rajasthan,Jaipur,Sanganer
Rajasthan,Jaipur,Shahpura
Rajasthan,Jaipur,Tunga
Rajasthan,Jaipur,Viratnagar
Rajasthan,Jaisalmer,Bhaniyana
Rajasthan,Jaisalmer,Fatehgarh
Rajasthan,Jaisalmer,Jaisalmer
Rajasthan,Jaisalmer,Pokaran
Rajasthan,Jaisalmer,Sum
Rajasthan,Jalore,Ahore
Rajasthan,Jalore,Bagora
Rajasthan,Jalore,Bhinmal
Rajasthan,Jalore,Chitalwana
Rajasthan,Jalore,Jalor
Rajasthan,Jalore,Jaswantpura
Rajasthan,Jalore,Raniwara
Rajasthan,Jalore,Sanchore
Rajasthan,Jalore,Sayla
Rajasthan,Jhalawar,Asnawar
Rajasthan,Jhalawar,Aklera
Rajasthan,Jhalawar,Bakani
Rajasthan,Jhalawar,Dug
Rajasthan,Jhalawar,Gangdhar
Rajasthan,Jhalawar,Jhalrapatan
Rajasthan,Jhalawar,Khanpur
Rajasthan,Jhalawar,Manohar Thana
Rajasthan,Jhalawar,Pachpahar
Rajasthan,Jhalawar,Pirawa
Rajasthan,Jhalawar,Raipur
Rajasthan,Jhalawar,Sunel
Rajasthan,Jhunjhunu,Buhana
Rajasthan,Jhunjhunu,Chirawa
Rajasthan,Jhunjhunu,Gudhagorji
Rajasthan,Jhunjhunu,Jhunjhunun
Rajasthan,Jhunjhunu,Khetri
Rajasthan,Jhunjhunu,Malsisar
Rajasthan,Jhunjhunu,Mandawa
Rajasthan,Jhunjhunu,Nawalgarh
Rajasthan,Jhunjhunu,Surajgarh
Rajasthan,Jhunjhunu,Udaipurwati
Rajasthan,Jodhpur,Aau
Rajasthan,Jodhpur,Balesar
Rajasthan,Jodhpur,Baori
Rajasthan,Jodhpur,Bap
Rajasthan,Jodhpur,Bapini
Rajasthan,Jodhpur,Bhopalgarh
Rajasthan,Jodhpur,Bilara
Rajasthan,Jodhpur,Dechu
Rajasthan,Jodhpur,Jodhpur
Rajasthan,Jodhpur,Lohawat
Rajasthan,Jodhpur,Luni
Rajasthan,Jodhpur,Osian
Rajasthan,Jodhpur,Phalodi
Rajasthan,Jodhpur,Pipar Shahar
Rajasthan,Jodhpur,Setrawa
Rajasthan,Jodhpur,Shekhala
Rajasthan,Jodhpur,Shergarh
Rajasthan,Jodhpur,Tinwari
Rajasthan,Karauli,Hindaun
Rajasthan,Karauli,Karauli
Rajasthan,Karauli,Mandrayal
Rajasthan,Karauli,Masalpur
Rajasthan,Karauli,Nadoti
Rajasthan,Karauli,Sapotra
Rajasthan,Karauli,Shrimahaveer Ji
Rajasthan,Karauli,Suroth
Rajasthan,Karauli,Todabhim
Rajasthan,Kota,Digod
Rajasthan,Kota,Kanwas
Rajasthan,Kota,Ladpura
Rajasthan,Kota,Pipalda
Rajasthan,Kota,Ramganj Mandi
Rajasthan,Kota,Sangod
Rajasthan,Nagaur,Degana
Rajasthan,Nagaur,Didwana
Rajasthan,Nagaur,Jayal
Rajasthan,Nagaur,Kuchaman City
Rajasthan,Nagaur,Kheenvsar
Rajasthan,Nagaur,Ladnu
Rajasthan,Nagaur,Mundwa
Rajasthan,Nagaur,Makrana
Rajasthan,Nagaur,Merta
Rajasthan,Nagaur,Nagaur
Rajasthan,Nagaur,Nawa
Rajasthan,Nagaur,Parbatsar
Rajasthan,Nagaur,Riyan Badi
Rajasthan,Nagaur,Sanjhu
Rajasthan,Pali,Bali
Rajasthan,Pali,Desuri
Rajasthan,Pali,Jaitaran
Rajasthan,Pali,Marwar Junction
Rajasthan,Pali,Pali
Rajasthan,Pali,Raipur
Rajasthan,Pali,Rani
Rajasthan,Pali,Rohat
Rajasthan,Pali,Sojat
Rajasthan,Pali,Sumerpur
Rajasthan,Pratapgarh,Arnod
Rajasthan,Pratapgarh,Chhoti Sadri
Rajasthan,Pratapgarh,Dalot
Rajasthan,Pratapgarh,Dhariawad
Rajasthan,Pratapgarh,Peepalkhoont
Rajasthan,Pratapgarh,Pratapgarh
Rajasthan,Pratapgarh,Suhagpura
Rajasthan,Rajsamand,Amet
Rajasthan,Rajsamand,Bhim
Rajasthan,Rajsamand,Delwara
Rajasthan,Rajsamand,Deogarh
Rajasthan,Rajsamand,Garhbor
Rajasthan,Rajsamand,Khamnor
Rajasthan,Rajsamand,Kumbhalgarh
Rajasthan,Rajsamand,Kuwaria
Rajasthan,Rajsamand,Nathdwara
Rajasthan,Rajsamand,Railmagra
Rajasthan,Rajsamand,Rajsamand
Rajasthan,Sawai Madhopur,Bamanwas
Rajasthan,Sawai Madhopur,Bonli
Rajasthan,Sawai Madhopur,Chauth Ka Barwara
Rajasthan,Sawai Madhopur,Gangapur
Rajasthan,Sawai Madhopur,Khandar
Rajasthan,Sawai Madhopur,Malarna Doongar
Rajasthan,Sawai Madhopur,Mitrapura
Rajasthan,Sawai Madhopur,Sawai Madhopur
Rajasthan,Sawai Madhopur,Wazeerpur
Rajasthan,Sikar,Dhod
Rajasthan,Sikar,Danta Ramgarh
Rajasthan,Sikar,Fatehpur
Rajasthan,Sikar,Khendela
Rajasthan,Sikar,Lachhmangarh
Rajasthan,Sikar,Nechwa
Rajasthan,Sikar,Neem-Ka-Thana
Rajasthan,Sikar,Ramgarh Shekawati
Rajasthan,Sikar,Sikar
Rajasthan,Sikar,Sri Madhopur
Rajasthan,Sirohi,Abu Road
Rajasthan,Sirohi,Deldar
Rajasthan,Sirohi,Pindwara
Rajasthan,Sirohi,Reodar
Rajasthan,Sirohi,Sheoganj
Rajasthan,Sirohi,Sirohi
Rajasthan,Tonk,Deoli
Rajasthan,Tonk,Duni
Rajasthan,Tonk,Malpura
Rajasthan,Tonk,Nagarfort
Rajasthan,Tonk,Niwai
Rajasthan,Tonk,Peeplu
Rajasthan,Tonk,Todaraisingh
Rajasthan,Tonk,Tonk
Rajasthan,Tonk,Uniara
Rajasthan,Udaipur,Badgaon
Rajasthan,Udaipur,Bhindar
Rajasthan,Udaipur,Girwa
Rajasthan,Udaipur,Gogunda
Rajasthan,Udaipur,Jhadol
Rajasthan,Udaipur,Kanod
Rajasthan,Udaipur,Kherwara
Rajasthan,Udaipur,Kotra
Rajasthan,Udaipur,Kurabad
Rajasthan,Udaipur,Lasadiya
Rajasthan,Udaipur,Mavli
Rajasthan,Udaipur,Nayagaon
Rajasthan,Udaipur,Rishabhdeo
Rajasthan,Udaipur,Salumbar
Rajasthan,Udaipur,Sarada
Rajasthan,Udaipur,Semari
Rajasthan,Udaipur,Vallabhnagar
